 ,,,,,,,,,,,,,,,
敏感词,Sensitive Word,https://chinadigitaltimes.net/2018/02/sensitive-words-emperor-xi-jinping-ascend-throne/,第一次测试日期/结果 Date/Result of Test 1,,第二次测试日期/结果 Date/Result of Test 2,,第三次测试日期/结果 Date/Result of Test 3,,第四次测试日期/结果 Date/Result of Test 4,,第五次测试日期/结果 Date/Result of Test 5,,第六次测试日期/结果 Date/Result of Test 6,,"“中国数字时代敏感词开源研究项目”是网站《中国数字时代》的一个研究项目，目前在更新新浪微博搜索敏感词列表。请网友参与，提供敏感词线索，共同构建和完善该敏感词列表。
"
郑文,Zheng Wen,--,2011-09-09,Y,,,,,,,,,,,
新京报,Beijing News,--,2011-09-01,Y,,,,,,,,,,,
京华时报,Jinghua Times,--,2011-09-01,Y,,,,,,,,,,,
京华,Jinghua,--,2011-09-01,Y,,,,,,,,,,,
李登辉,Lee Teng-hui,--,2011-09-01,Y,,,,,,,,,,,
非正常死亡,abnormal death,--,2011-09-01,Y,,,,,,,,,,,
学潮,student movement,--,2011-09-01,Y,,,,,,,,,,,
px,px,--,2011-08-31,Y,,,,,,,,,,,
散步,take a walk,--,2011-08-31,Y,2012-03-30,Y,2012-09-19,Y,,,,,,,
福佳,Fujia [Group],--,2011-08-31,Y,,,,,,,,,,,
大连,Dalian,--,2011-08-31,Y,,,,,,,,,,,
敏感词,sensitive word,--,2011-08-31,Y,,,,,,,,,,,
GFW,GFW,--,2011-08-31,Y,2012-04-18,Y,,,,,,,,,
删帖,deleted post,--,2011-08-31,Y,,,,,,,,,,,
新闻自由,freedom of the press,--,2011-08-31,Y,,,,,,,,,,,
无锡招商城,Wuxi Investment City,--,2011-08-27,Y,2011-10-20,N,,,,,,,,,
卢俊卿,Lu Junqing,--,2011-08-17,Y,,,,,,,,,,,
卢星宇,Lu Xingyu,--,2011-08-17,Y,,,,,,,,,,,
王青雷,Wang Qinglei,--,2011-08-10,Y,,,,,,,,,,,
埃及,Egypt,--,2011-08-10,Y,,,,,,,,,,,
空椅子,empty chair,--,2011-08-10,Y,,,,,,,,,,,
茉莉花,jasmine,--,2011-08-10,Y,2011-11-27,N,,,,,,,,,
爱未来,love the future,--,2011-08-10,Y,,,,,,,,,,,
未来,future,--,2011-08-10,Y,,,,,,,,,,,
艾未未,Ai Weiwei,--,2011-08-10,Y,,,,,,,,,,,
未未,Weiwei,--,2011-08-10,Y,,,,,,,,,,,
艾未,Ai Wei,--,2011-08-10,Y,,,,,,,,,,,
艾胖子,Fatty Ai,--,2011-08-10,Y,,,,,,,,,,,
GFW,GFW,--,2011-08-10,Y,,,,,,,,,,,
翻墙,scale the wall,--,2011-08-10,Y,2013-04-01,Y,,,,,,,,,
方滨兴,Fang Binxing,--,2011-08-10,Y,2012-01-22,N,,,,,,,,,
网监,Net inspector,--,2011-08-10,Y,,,,,,,,,,,
网管办,Internet Management Office,--,2011-08-10,Y,,,,,,,,,,,
国新办,State Council Information Office,--,2011-08-10,Y,,,,,,,,,,,
真理部,Ministry of Truth,--,2011-08-10,Y,,,,,,,,,,,
新闻联播,News Simulcast,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
重大新闻,Chongqing News,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
解放军总医院,PLA General Hospital,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
301,301,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
华东医院,Huadong Hospital,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
太上皇,emperor emeritus,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
先皇,deceased emperor,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
先帝,deceased emperor,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
三表,three watches,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
三表哥,Three-Watches Brother,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江三表,Jiang Three-watches,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
三个代表,Three Represents,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江,Jiang,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
蛤蟆,toad,--,2011-07-09,Y,2011-10-19,Y,2012-03-26,N,2012-06-21,Y,,,,,
癩蛤蟆,toad,--,2011-07-09,Y,2011-10-19,Y,2014-02-12,N,,,,,,,
心肌梗塞,myocardial infarction,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
脑死亡,brain death,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
驾崩,death of the emperor,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
驾鹤,"ride crane (from ""ride crane westward,"" to pass away)",--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
西去,"go west (from ""ride crane westward,"" to pass away)",--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
上船,board a ship,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
永垂不朽,live forever,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
挂了,hanged,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
五棵松,Wukesong [Station],--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
八宝山,Babaoshan [Revolutionary Cemetery],--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
总书记,secretary-general,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
军委,[Central] Military Commission,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
中共,CCP,--,2011-07-09,Y,2011-10-19,Y,2012-01-25,N,,,,,,,
政治局,politburo,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
常委,Party committee,--,2011-07-09,Y,2011-10-19,Y,2012-03-22,Y,,,,,,,
前主席,former chairman,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江主席,Chairman Jiang,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
前领导人,former leader,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
领导人,leader,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
国家大事,major national event,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江核心,Jiang Core,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江泽民,Jiang Zemin,--,2011-07-09,Y,2011-10-19,Y,2014-07-30,Y,,,,,,,
江泽明,Jiang Zeming,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
江民,Jiang [Ze]min,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
泽民,Zemin,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
毛泽民,Mao Zemin,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江爷爷,Grandpa Jiang,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
老江,Old Jiang,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
江氏,surname Jiang,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
姓江的,surnamed Jiang,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江core,Jiang core,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
simple,simple,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
naive,naive,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
too simple sometimes naive,too simple sometimes naive,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
宋祖英,Song Zuying,--,2011-07-09,Y,2011-10-19,Y,,,,,,,,,
辣妹子辣,spicy sister is spicy,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
国母,first lady,--,2011-07-09,Y,2011-10-19,Y,2012-04-03,N,2012-11-16,Y,,,,,
江家,Jiang family,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江上青,Jiang Shangqing,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江泽慧,Jiang Zehui,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
扬州,Yangzhou,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
扬州中学,Yangzhou secondary school,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
中南海,Zhongnanhai,--,2011-07-09,Y,2011-10-19,N,2014-07-15,Y,,,,,,,
江苏,Jiangsu,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江西,Jiangxi,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江东,Jiangdong,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江北,Jiangbei,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江南,Jiangnan,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
浙江,Zhejiang,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江浙,Gnaijehz,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
三江县,Sanjiang County,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江边,river bank,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
江心公园,Jiangxin Park,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
长江,Yangtze River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
珠江,Pearl River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
湘江,Xiang River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
香江,Fragrant [Xiang] River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
扬子江,Yangtze River,--,2011-07-09,Y,2011-10-19,N,,,,,,,,,
